name,slug,description,,,order
AI Development,ai-development,"<p>AI Development: Role: Broad Field/Process.</p><br><p>Use Cases: Encompasses the entire process of creating systems that exhibit intelligent behavior, which includes machine learning but also potentially symbolic reasoning, planning, knowledge representation, robotics, etc. In practice within data science, it often overlaps heavily with ML Development but implies building broader intelligent systems.</p><br><p>Python Libraries: All core ML/DL libraries (Scikit-learn, TensorFlow, PyTorch, Keras), NLP libraries (Hugging Face, spaCy, NLTK), CV libraries (OpenCV, Pillow), potentially libraries for logic programming or planning (less common).</p>",,,0
AI Engineering,ai-engineering,"<p>AI Engineering: Role: System Building & Deployment.</p><br><p>Use Cases: Focuses on the practical implementation, scaling, deployment, and maintenance of AI/ML models and systems in production environments. Overlaps significantly with Machine Learning Engineering and MLOps. Involves building robust data pipelines, creating APIs for models, ensuring reliability and scalability, monitoring performance.</p><br><p>Python Libraries: Core ML/DL libraries (TensorFlow, PyTorch, Scikit-learn), API frameworks (Flask, FastAPI, Django), MLOps tools/libs (MLflow, interacting with Docker/Kubernetes via CLI/APIs), Cloud SDKs (boto3 for AWS, google-cloud-python for GCP, azure-sdk-for-python).</p>",,,1
Apache Spark,apache-spark,<p>Apache Spark: Role: Core Framework (Big Data Processing).</p><br><p>Use Cases: An open-source unified analytics engine for large-scale data processing and machine learning on distributed clusters. Used when datasets are too large to fit into the memory of a single machine. (See also: PySpark).</p>,,,2
Big Data,big-data,"<p>Big Data: Role: Concept & Technology Domain.</p><br><p>Use Cases: Refers to datasets that are too large or complex for traditional data-processing application software. Involves technologies and techniques designed to handle volume, velocity, and variety of data. Data scientists/engineers use tools like Apache Spark, Hadoop ecosystem components, distributed databases, and specific cloud services to process, store, and analyze big data.</p><br><p>Python Libraries: PySpark, Dask, Pandas (often for processing chunks), libraries for specific databases or cloud storage (boto3, etc.).</p>",,,3
Business Intelligence,business-intelligence,"<p>Business Intelligence (BI): Role: Related Field & Application Area.</p><br><p>Use Cases: Focuses on using data, tools, and methodologies to analyze business information and make data-driven decisions. Often involves creating dashboards and reports. Data science techniques can feed into BI systems, and BI tools are often used by data analysts/scientists to present findings.</p><br><p>Python Libraries: Pandas, database connectors (psycopg2, mysql.connector), visualization libraries (Matplotlib, Seaborn, Plotly), libraries to interact with BI tool APIs. (See also: Tableau).</p>",,,4
Chatbot Development,chatbot-development,"<p>Chatbot Development: Role: Application Area (AI/NLP).</p><br><p>Use Cases: Building conversational agents (chatbots, virtual assistants). Leverages NLP techniques for understanding user input (intent recognition, entity extraction) and generating responses. Can range from simple rule-based bots to complex AI-powered ones using large language models (LLMs).</p><br><p>Python Libraries: NLP libraries (NLTK, spaCy, Hugging Face Transformers), specific chatbot frameworks (Rasa, libraries for Dialogflow/Lex APIs), potentially core DL frameworks (TensorFlow, PyTorch) for custom model components.</p>",,,5
Cloud Computing,cloud-computing,"<p>Cloud Computing (AWS, GCP, Azure): Role: Essential Infrastructure & Platform.</p><br><p>Use Cases: Provides scalable resources for storage (S3, GCS, Blob Storage), computation (EC2, Compute Engine, VMs), databases (RDS, Cloud SQL, Cosmos DB), managed ML platforms (SageMaker, Vertex AI, Azure ML), big data services (EMR, Dataproc, HDInsight), and deployment. Essential for handling large datasets, training complex models, and deploying scalable applications.</p><br><p>Python Libraries: Cloud-specific SDKs (boto3 for AWS, google-cloud-python for GCP, azure-sdk-for-python for Azure).</p>",,,6
Command Line,command-line,"<p>Command Line: Role: Fundamental Interface.</p><br><p>Use Cases: Text-based interface for interacting with the operating system. Essential for running scripts, managing files, installing packages, version control (Git), connecting to servers (SSH), and using many development tools. Bash is the most common command line shell on Linux/macOS, while Powershell is common on Windows. (See also: Bash, Powershell).</p><br><p>Python Libraries: subprocess, os, sys, argparse (for building command-line tools).</p>",,,7
Computer Science,computer-science,"<p>Computer Science: Role: Foundational Knowledge.</p><br><p>Use Cases: Provides the theoretical underpinnings for ML/AI/DS. Core concepts like algorithms (searching, sorting, graph algorithms), data structures (arrays, lists, trees, hash maps), complexity analysis (Big O notation), and principles of computation are essential for designing efficient solutions, understanding model trade-offs, and writing optimised code.</p><br><p>Python Libraries: Python's standard library (collections, itertools, math), NumPy.</p>",,,8
Content Creation,content-creation,"<p>Content Creation (AI-driven): Role: Application Area (AI/Generative Models).</p><br><p>Use Cases: Using AI models, particularly generative models, to create new content like text (articles, summaries, code), images (Stable Diffusion, Midjourney), music, or video. Involves using pre-trained models or fine-tuning them for specific styles or tasks.</p><br><p>Python Libraries: Hugging Face Transformers (accessing GPT, T5, etc.), libraries for specific models (e.g., interfaces for Stable Diffusion), image manipulation (Pillow), audio processing (Librosa, torchaudio).</p>",,,9
